股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
2885,元大金,TSE,【散戶套牢資 / 留意斷頭】,63.14,63.3,0.25,63.1,-0.06
2887,台新新光金,TSE,【主力點火資】,34.19,34.5,0.92,33.15,-3.03
2890,永豐金,TSE,【散戶套牢資 / 留意斷頭】,38.13,38.2,0.19,38.85,1.9
2891,中信金,TSE,【散戶套牢資 / 留意斷頭】,62.1,63.5,2.25,63.1,1.61
2912,統一超,TSE,【主力點火資】,233.93,228.15,-2.47,230.0,-1.68
3006,晶豪科,TSE,【散戶套牢資 / 留意斷頭】,198.0,212.5,7.32,164.0,-17.17
3017,奇鋐,TSE,【主力點火資】,2200.0,2440.0,10.91,2110.0,-4.09
3024,憶聲,TSE,【主力點火資】,14.2,13.25,-6.69,11.85,-16.55
3030,德律,TSE,【主力點火資】,288.0,296.5,2.95,249.0,-13.54
3033,威健,TSE,【主力點火資】,48.8,50.5,3.48,42.1,-13.73
3037,欣興,TSE,【散戶套牢資 / 留意斷頭】,794.0,896.0,12.85,716.0,-9.82
3041,揚智,TSE,【散戶套牢資 / 留意斷頭】,23.25,24.2,4.09,20.15,-13.33
3042,晶技,TSE,【散戶套牢資 / 留意斷頭】,168.5,164.5,-2.37,137.0,-18.69
3044,健鼎,TSE,【散戶套牢資 / 留意斷頭】,397.5,406.0,2.14,342.0,-13.96
3048,益登,TSE,【散戶套牢資 / 留意斷頭】,50.7,50.8,0.2,42.75,-15.68
3149,正達,TSE,【主力點火資】,79.6,68.5,-13.94,61.7,-22.49
3167,大量,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,766.0,688.0,-10.18,442.0,-42.3
3305,昇貿,TSE,【散戶套牢資 / 留意斷頭】,109.0,113.0,3.67,90.5,-16.97
3346,麗清,TSE,【散戶套牢資 / 留意斷頭】,20.7,21.0,1.45,18.2,-12.08
3376,新日興,TSE,【散戶套牢資 / 留意斷頭】,187.0,191.5,2.41,160.0,-14.44
3380,明泰,TSE,【散戶套牢資 / 留意斷頭】,29.8,30.6,2.68,25.9,-13.09
3413,京鼎,TSE,【主力點火資】,371.0,341.0,-8.09,282.5,-23.85
3443,創意,TSE,【散戶套牢資 / 留意斷頭】,3835.0,4380.0,14.21,3460.0,-9.78
3504,揚明光,TSE,【散戶套牢資 / 留意斷頭】,64.0,64.7,1.09,62.3,-2.66
3583,辛耘,TSE,【主力點火資】,740.12,752.01,1.61,594.0,-19.74
3591,艾笛森,TSE,【散戶套牢資 / 留意斷頭】,21.25,20.7,-2.59,18.05,-15.06
3605,宏致,TSE,一般資增,79.3,94.5,19.17,78.3,-1.26
3645,達邁,TSE,【散戶套牢資 / 留意斷頭】,69.4,70.2,1.15,60.1,-13.4
3661,世芯-KY,TSE,【散戶套牢資 / 留意斷頭】,3480.0,3510.0,0.86,2785.0,-19.97
3694,海華,TSE,一般資增,57.94,61.8,6.66,49.0,-15.43
3711,日月光投控,TSE,【主力點火資】,614.0,649.0,5.7,505.0,-17.75
3714,富采,TSE,【散戶套牢資 / 留意斷頭】,52.5,53.7,2.29,45.55,-13.24
3717,聯嘉投控,TSE,【散戶套牢資 / 留意斷頭】,22.45,22.8,1.56,20.3,-9.58
4306,炎洲,TSE,【主力點火資】,14.75,14.7,-0.34,14.05,-4.75
4526,東台,TSE,【散戶套牢資 / 留意斷頭】,31.37,30.36,-3.23,25.2,-19.66
4540,全球傳動,TSE,【散戶套牢資 / 留意斷頭】,51.6,52.6,1.94,42.2,-18.22
4906,正文,TSE,【散戶套牢資 / 留意斷頭】,35.65,35.45,-0.56,28.95,-18.79
4915,致伸,TSE,【散戶套牢資 / 留意斷頭】,64.9,65.5,0.92,63.6,-2.0
4919,新唐,TSE,【散戶套牢資 / 留意斷頭】,141.0,141.0,0.0,106.5,-24.47
