股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
4551,智伸科,TSE,160.0,158.09,188.83,59,-7,"(+3, +25, +59)","(+7, +1, -7)",850,【主力點火資】,False,True,True
4749,新應材,OTC,765.0,708.2,802.6,58,-93,"(-44, +57, +58)","(-7, +53, -93)",1329,【主力點火資】,False,True,True
8040,九暘,OTC,68.6,65.58,78.48,57,1,"(-163, +37, +57)","(+11, -11, +1)",866,【主力點火資】,False,True,True
4739,康普,TSE,79.2,74.24,86.7,56,5,"(-13, +185, +56)","(-23, +17, +5)",1727,【主力點火資】,False,True,True
2485,兆赫,TSE,38.3,35.8,43.14,55,-50,"(-355, +18, +55)","(+150, -86, -50)",6067,【主力點火資】,False,True,True
1597,直得,TSE,125.0,114.0,128.47,54,-1,"(-83, +302, +54)","(-6, +9, -1)",1086,【主力點火資】,False,True,True
6015,宏遠證,OTC,15.55,15.13,16.48,54,6,"(+14, -124, +54)","(-1, +4, +6)",2287,【主力點火資】,False,True,True
6426,統新,TSE,158.0,151.5,167.22,53,0,"(-144, +82, +53)","(-16, -6, +0)",831,【主力點火資】,False,True,True
8114,振樺電,TSE,215.0,205.0,205.8,53,5,"(-95, +68, +53)","(+5, -19, +5)",1623,【主力點火資】,False,True,False
3402,漢科,OTC,132.0,120.2,134.86,53,0,"(+0, -3, +53)","(+0, -4, +0)",803,【主力點火資】,False,True,True
6435,大中,OTC,249.5,227.8,292.29,53,3,"(-26, +134, +53)","(-5, +2, +3)",722,【主力點火資】,False,True,True
2539,櫻花建,TSE,42.4,42.36,40.8,52,1,"(-15, -35, +52)","(+5, -3, +1)",1830,【主力點火資】,False,True,False
3008,大立光,TSE,3960.0,3892.0,4006.5,52,-2,"(-58, +86, +52)","(-12, +5, -2)",2506,【主力點火資】,False,True,True
6209,今國光,TSE,69.3,63.13,71.01,52,0,"(-250, -202, +52)","(-2, +0, +0)",7114,【主力點火資】,False,True,True
8210,勤誠,TSE,1095.0,1018.4,1113.1,52,1,"(-21, -44, +52)","(-10, +1, +1)",1034,【主力點火資】,False,True,True
6186,新潤,OTC,41.9,41.62,42.45,52,0,"(-5, -30, +52)","(+0, +0, +0)",1010,【主力點火資】,False,True,True
1586,和勤,OTC,18.35,18.24,18.34,50,0,"(-8, -14, +50)","(+0, +0, +0)",678,【主力點火資】,False,True,False
1519,華城,TSE,703.0,681.4,700.25,49,0,"(-40, -61, +49)","(-16, -1, +0)",1486,【主力點火資】,False,True,False
2375,凱美,TSE,121.0,113.9,150.0,48,-4,"(-23, +664, +48)","(+0, -93, -4)",5980,【主力點火資】,False,True,True
5284,jpp-KY,TSE,284.0,267.9,295.42,48,1,"(-28, +7, +48)","(+3, +4, +1)",566,【主力點火資】,False,True,True
3709,鑫聯大投控,OTC,73.9,69.86,74.3,48,6,"(-17, -33, +48)","(-1, -2, +6)",833,【主力點火資】,False,True,True
9945,潤泰新,TSE,26.95,26.55,26.23,46,-8,"(+53, +0, +46)","(-9, +17, -8)",8589,【主力點火資】,False,True,False
4908,前鼎,OTC,141.0,130.4,145.78,45,0,"(-44, +197, +45)","(-7, -3, +0)",1330,【主力點火資】,False,True,True
2006,東和鋼鐵,TSE,80.4,74.66,71.74,44,2,"(-3, -2, +44)","(+2, +0, +2)",4673,【主力點火資】,False,True,False
3034,聯詠,TSE,519.0,505.3,494.82,44,1,"(-48, +17, +44)","(-5, -5, +1)",4841,【主力點火資】,False,True,False
6133,金橋,TSE,20.05,19.66,21.92,44,0,"(-6, +0, +44)","(-7, -36, +0)",747,【主力點火資】,False,True,True
3236,千如,OTC,42.6,38.79,48.9,44,20,"(+10, -33, +44)","(+1, +2, +20)",3596,【主力點火資】,False,True,True
1477,聚陽,TSE,218.5,218.0,219.25,42,2,"(-82, -7, +42)","(+6, +3, +2)",1898,【主力點火資】,False,True,True
3357,臺慶科,OTC,204.0,190.5,226.2,42,-7,"(+53, +151, +42)","(+4, +1, -7)",2641,【主力點火資】,False,True,True
3594,磐儀,OTC,51.1,50.26,51.75,42,-2,"(+50, +60, +42)","(-30, -12, -2)",1496,【主力點火資】,False,True,True
8074,鉅橡,OTC,51.8,48.62,56.75,42,2,"(-22, +12, +42)","(-1, -2, +2)",793,【主力點火資】,False,True,True
3015,全漢,TSE,54.1,51.74,57.66,40,-3,"(-63, -4, +40)","(+7, +0, -3)",784,【主力點火資】,False,True,True
1504,東元,TSE,65.3,63.12,66.43,39,16,"(-182, -382, +39)","(-10, -8, +16)",9498,【主力點火資】,False,True,True
1590,亞德客-KY,TSE,1415.0,1354.0,1335.72,38,0,"(-2, +9, +38)","(+0, +0, +0)",1345,【主力點火資】,False,True,False
2421,建準,TSE,136.5,127.8,133.25,38,-3,"(-44, -130, +38)","(+10, +1, -3)",2183,【主力點火資】,False,True,False
3147,大綜,OTC,237.5,219.0,226.18,38,-4,"(+50, +36, +38)","(-6, +0, -4)",897,【主力點火資】,False,True,False
3363,上詮,OTC,525.0,493.4,555.35,38,67,"(-228, +78, +38)","(-56, +21, +67)",2698,【主力點火資】,False,True,True
8110,華東,TSE,40.8,36.74,43.78,37,97,"(-924, +149, +37)","(-297, +1, +97)",5568,【主力點火資】,False,True,True
8422,可寧衛*,TSE,26.8,25.13,26.14,37,18,"(-568, -270, +37)","(-4, -5, +18)",10511,【主力點火資】,False,True,False
6156,松上,OTC,21.3,20.61,24.32,37,1,"(-197, -35, +37)","(-2, +0, +1)",1301,【主力點火資】,False,True,True
2404,漢唐,TSE,1105.0,1048.0,1141.63,36,1,"(-12, +29, +36)","(-1, +2, +1)",3015,【主力點火資】,False,True,True
3051,力特,TSE,21.5,20.95,22.78,36,6,"(+9, +12, +36)","(+0, +0, +6)",659,【主力點火資】,False,True,True
6196,帆宣,TSE,494.0,463.9,525.88,36,-1,"(+5, +90, +36)","(+7, -12, -1)",1875,【主力點火資】,False,True,True
3230,錦明,OTC,39.25,36.71,45.19,36,2,"(+2, +56, +36)","(-5, +1, +2)",894,【主力點火資】,False,True,True
3135,凌航,TSE,160.0,149.2,156.0,35,11,"(+27, +39, +35)","(+12, -5, +11)",1887,【主力點火資】,False,True,False
5876,上海商銀,TSE,44.65,44.63,42.96,35,-16,"(-47, +8, +35)","(+11, +7, -16)",15195,【主力點火資】,False,True,False
6706,惠特,TSE,98.3,95.98,115.92,35,1,"(-112, -62, +35)","(+10, +0, +1)",1528,【主力點火資】,False,True,True
8926,台汽電,TSE,61.8,60.46,66.68,35,-13,"(-139, +95, +35)","(-4, -20, -13)",5172,【主力點火資】,False,True,True
6517,保勝光學,OTC,62.5,61.94,66.46,35,2,"(-44, +1, +35)","(+5, -14, +2)",1429,【主力點火資】,False,True,True
8936,國統,OTC,51.4,51.14,53.24,35,-3,"(-144, -56, +35)","(-1, +3, -3)",1374,【主力點火資】,False,True,True
2540,愛山林,TSE,60.0,58.72,54.83,34,-4,"(-262, +36, +34)","(+0, -1, -4)",3755,【主力點火資】,False,True,False
6024,群益期,TSE,58.3,57.21,57.33,34,0,"(+68, -119, +34)","(+0, +0, +0)",1136,【主力點火資】,False,True,False
3529,力旺,OTC,2390.0,2288.0,2455.75,34,-2,"(-8, +94, +34)","(+9, -2, -2)",1142,【主力點火資】,False,True,True
6138,茂達,OTC,277.5,265.14,310.01,33,0,"(-37, +52, +33)","(+0, +1, +0)",1076,【主力點火資】,False,True,True
