股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3374,精材,OTC,403.0,381.0,343.0,333,-26,"(+1527, +2763, +333)","(+236, +104, -26)",22686,【主力點火資】,False,True,False
6451,訊芯-KY,TSE,445.5,429.9,497.52,331,0,"(+401, +62, +331)","(-9, +0, +0)",2682,【主力點火資】,False,True,True
2382,廣達,TSE,336.0,326.1,349.87,328,-259,"(+307, +1045, +328)","(-116, -9, -259)",27426,【主力點火資】,False,True,True
2401,凌陽,TSE,28.2,27.9,30.98,324,-87,"(-114, -212, +324)","(-8, +113, -87)",6188,【主力點火資】,False,True,True
8086,宏捷科,OTC,123.0,119.7,133.88,314,3,"(-13, -10, +314)","(+1, -5, +3)",2210,【主力點火資】,False,True,True
8112,至上,TSE,88.0,85.02,86.57,286,5,"(-485, -1412, +286)","(+9, +414, +5)",15320,【主力點火資】,False,True,False
6531,愛普*,TSE,904.0,853.8,918.4,283,-1,"(-56, -52, +283)","(+26, +9, -1)",2687,【主力點火資】,False,True,True
1326,台化,TSE,71.7,68.24,63.92,279,115,"(+2869, -828, +279)","(-78, +257, +115)",92376,【主力點火資】,False,True,False
5328,華容,OTC,67.0,61.76,69.46,265,19,"(+423, -277, +265)","(+92, -19, +19)",14571,【主力點火資】,False,True,True
1308,亞聚,TSE,14.55,14.19,14.41,263,5,"(-109, +174, +263)","(+0, +0, +5)",3101,【主力點火資】,False,True,False
2352,佳世達,TSE,30.1,29.48,30.85,262,2,"(+212, -93, +262)","(+0, +0, +2)",12270,【主力點火資】,False,True,True
1304,台聚,TSE,13.45,13.1,13.53,261,77,"(-1332, -291, +261)","(+0, +0, +77)",6984,【主力點火資】,False,True,True
4763,材料*-KY,TSE,49.75,48.92,48.14,252,-93,"(+1327, -1603, +252)","(+3, +84, -93)",13963,【主力點火資】,False,True,False
2305,全友,TSE,34.35,32.9,36.14,249,11,"(-388, +63, +249)","(-3, -6, +11)",5173,【主力點火資】,False,True,True
2609,陽明,TSE,50.5,50.2,49.6,242,-9,"(-436, -290, +242)","(+32, +3, -9)",18146,【主力點火資】,False,True,False
6414,樺漢,TSE,503.0,447.7,399.27,242,6,"(+384, +358, +242)","(+94, -11, +6)",4957,【主力點火資】,False,True,False
1229,聯華,TSE,42.5,40.85,40.49,237,7,"(+115, +95, +237)","(+0, +0, +7)",4202,【主力點火資】,False,True,False
2451,創見,TSE,244.5,234.4,251.95,236,-1,"(+136, -130, +236)","(-57, +6, -1)",3557,【主力點火資】,False,True,True
2356,英業達,TSE,63.0,60.1,62.9,235,-668,"(-427, -272, +235)","(+789, +26, -668)",36134,【主力點火資】,False,True,False
4908,前鼎,OTC,144.0,139.9,161.93,233,2,"(+50, -30, +233)","(-2, -3, +2)",1457,【主力點火資】,False,True,True
1597,直得,TSE,134.5,127.7,138.55,225,6,"(-102, +127, +225)","(-1, +0, +6)",1052,【主力點火資】,False,True,True
2360,致茂,TSE,2155.0,1996.0,2010.25,225,-1,"(+155, -151, +225)","(+5, +2, -1)",3089,【主力點火資】,False,True,False
3717,聯嘉投控,TSE,22.8,22.17,25.27,215,-40,"(+12, -256, +215)","(-73, -54, -40)",3613,【主力點火資】,False,True,True
2493,揚博,TSE,236.0,233.0,263.86,212,96,"(+397, -119, +212)","(+11, -10, +96)",3485,【主力點火資】,False,True,True
2406,國碩,TSE,33.35,32.35,36.84,210,-25,"(+103, -169, +210)","(+35, +82, -25)",12994,【主力點火資】,False,True,True
6206,飛捷,TSE,130.0,119.35,122.1,190,-8,"(-58, +161, +190)","(+0, +17, -8)",2122,【主力點火資】,False,True,False
2489,瑞軒,TSE,31.75,31.35,37.52,180,-11,"(+53, +83, +180)","(-1, +14, -11)",9686,【主力點火資】,False,True,True
2353,宏��,TSE,30.15,29.95,31.53,177,49,"(-508, -506, +177)","(+2, -64, +49)",24639,【主力點火資】,False,True,True
3189,景碩,TSE,785.0,739.8,788.81,177,-127,"(+542, +2077, +177)","(+109, +73, -127)",14796,【主力點火資】,False,True,True
1325,恆大,TSE,28.25,26.23,25.05,175,67,"(-20, +29, +175)","(+0, +23, +67)",1527,【主力點火資】,False,True,False
2329,華泰,TSE,47.1,45.61,50.36,174,-10,"(-174, -181, +174)","(+0, +58, -10)",5005,【主力點火資】,False,True,True
4551,智伸科,TSE,188.0,184.0,219.85,157,0,"(+54, +69, +157)","(+11, +0, +0)",1217,【主力點火資】,False,True,True
6706,惠特,TSE,112.5,111.2,132.7,151,1,"(-8, -23, +151)","(-1, -1, +1)",2095,【主力點火資】,False,True,True
3305,昇貿,TSE,113.0,110.1,123.05,148,3,"(-66, +8, +148)","(-2, +0, +3)",1961,【主力點火資】,False,True,True
6830,汎銓,TSE,376.5,359.0,415.73,148,5,"(+17, +59, +148)","(-2, +16, +5)",1203,【主力點火資】,False,True,True
3163,波若威,OTC,761.0,685.8,738.05,147,-1,"(+51, +114, +147)","(-5, -24, -1)",3046,【主力點火資】,False,True,False
3036,文曄,TSE,207.5,195.3,207.1,146,253,"(+731, +240, +146)","(-152, -74, +253)",7890,【主力點火資】,False,True,False
2476,鉅祥,TSE,120.5,118.1,126.75,144,4,"(+562, -86, +144)","(+5, +8, +4)",2734,【主力點火資】,False,True,True
3706,神達,TSE,92.0,90.24,89.45,144,1,"(+195, +129, +144)","(-26, -58, +1)",13857,【主力點火資】,False,True,False
6187,萬潤,OTC,1025.0,997.6,1019.0,144,-4,"(+22, -68, +144)","(+1, +2, -4)",2217,【主力點火資】,False,True,False
4967,十銓,TSE,217.0,213.4,237.28,141,-14,"(+79, -58, +141)","(-109, +8, -14)",2100,【主力點火資】,False,True,True
3324,雙鴻,OTC,923.0,905.6,944.25,141,-14,"(-52, +58, +141)","(-15, +64, -14)",2609,【主力點火資】,False,True,True
6209,今國光,TSE,71.8,68.82,76.87,136,-22,"(+17, +226, +136)","(-3, +1, -22)",4611,【主力點火資】,False,True,True
2801,彰銀,TSE,24.25,24.19,23.83,135,147,"(-939, -425, +135)","(-5, -4, +147)",35663,【主力點火資】,False,True,False
4960,誠美材,TSE,21.8,21.51,23.81,128,2,"(-626, +317, +128)","(-1, +8, +2)",3076,【主力點火資】,False,True,True
2498,宏達電,TSE,41.9,41.65,43.5,127,-2,"(-178, -102, +127)","(-1, -134, -2)",4685,【主力點火資】,False,True,True
3045,台灣大,TSE,112.0,111.9,111.16,125,-1,"(-98, +106, +125)","(+1, -10, -1)",17350,【主力點火資】,False,True,False
2887,台新新光金,TSE,34.5,34.36,33.64,114,-51,"(+57, -43, +114)","(+57, +47, -51)",86361,【主力點火資】,False,True,False
8996,高力,TSE,1075.0,1024.8,1256.7,107,7,"(+115, +143, +107)","(-41, +16, +7)",2653,【主力點火資】,False,True,True
3363,上詮,OTC,589.0,537.0,570.05,104,16,"(+106, -68, +104)","(-8, +82, +16)",2877,【主力點火資】,False,True,False
4133,亞諾法,TSE,22.7,22.12,21.03,103,17,"(+105, -53, +103)","(+0, +0, +17)",1867,【主力點火資】,False,True,False
8105,凌巨,TSE,17.2,17.07,19.79,100,-12,"(+361, -399, +100)","(-204, +11, -12)",5082,【主力點火資】,False,True,True
2891,中信金,TSE,63.5,62.76,65.97,98,-5,"(+105, -192, +98)","(-7, -4, -5)",54522,【主力點火資】,False,True,True
6257,矽格,TSE,226.0,218.2,234.19,97,8,"(+117, -84, +97)","(-18, +7, +8)",5585,【主力點火資】,False,True,True
6449,鈺邦,TSE,253.0,252.0,308.32,96,-2,"(+90, -86, +96)","(+4, +0, -2)",1534,【主力點火資】,False,True,True
8422,可寧衛*,TSE,26.25,26.06,26.94,93,-1,"(-40, +162, +93)","(+1, -1, -1)",6216,【主力點火資】,False,True,True
3479,安勤,OTC,153.5,144.9,141.93,93,-8,"(+273, +13, +93)","(+32, +47, -8)",3885,【主力點火資】,False,True,False
5426,振發,OTC,26.9,26.72,29.67,92,-4,"(-9, +65, +92)","(+0, +2, -4)",1176,【主力點火資】,False,True,True
8050,廣積,OTC,63.0,59.5,57.48,92,0,"(+203, +6, +92)","(+0, +0, +0)",3011,【主力點火資】,False,True,False
2637,慧洋-KY,TSE,81.3,80.9,78.85,91,0,"(+47, +120, +91)","(+2, +10, +0)",2303,【主力點火資】,False,True,False
3005,神基,TSE,113.5,112.8,109.12,91,-8,"(+3405, -95, +91)","(+15, -1, -8)",5574,【主力點火資】,False,True,False
8043,蜜望實,OTC,146.0,142.6,170.35,87,31,"(+318, -72, +87)","(+11, +79, +31)",6976,【主力點火資】,False,True,True
1310,台苯,TSE,10.2,10.08,10.46,85,-7,"(-945, +238, +85)","(-4, +14, -7)",5159,【主力點火資】,False,True,True
1608,華榮,TSE,30.25,30.04,31.26,85,0,"(+322, -22, +85)","(+0, +0, +0)",3044,【主力點火資】,False,True,True
6120,達運,TSE,13.25,13.24,13.92,82,-1,"(-28, +6, +82)","(+1, +0, -1)",2775,【主力點火資】,False,True,True
1909,榮成,TSE,10.1,10.07,10.14,79,19,"(+147, +212, +79)","(+22, -19, +19)",3097,【主力點火資】,False,True,True
4916,事欣科,TSE,103.5,103.34,107.6,79,-1,"(-90, +93, +79)","(+9, -75, -1)",5717,【主力點火資】,False,True,True
2331,精英,TSE,19.75,19.68,20.52,78,-9,"(-230, -25, +78)","(+7, +4, -9)",1589,【主力點火資】,False,True,True
2882,國泰金,TSE,97.3,95.64,96.33,70,-3,"(-1574, +279, +70)","(+1, +12, -3)",23869,【主力點火資】,False,True,False
